Name,Number,Full_Name,Number_of_GenEd,Gen_Ed_1,Gen_Ed_2
AAAD,487,Intellectual Currents in African and African Diaspora Studies,1,FC-GLOBAL or FC-POWER,
AAAD,286,"The African Diaspora in the Colonial Americas, 1450-1800",1,FC-PAST or FC-POWER,
AAAD,402,African Media and Film: History and Practice,0,,
AAAD,202,African Film and Performance,1,FC-AESTH or FC-GLOBAL,
AAAD,491,"Class, Race, and Inequality in America",1,FC-PAST or FC-POWER,
AAAD,449,Black Women in Cinema: From the Early 1900s to the Present,0,,
AAAD,404,Music of African Diasporas,0,,
AAAD,333,Race and Public Policy in the United States,1,FC-POWER,
AAAD,334,Performing African American History,0,,
AAAD,354,The Lived Experience of Inequality and Public Policy,0,,
AAAD,54,"First-Year Seminar: African Migrations, Boundaries, Displacements, and Belonging",1,FC-GLOBAL or FC-KNOWING,
AAAD,238,African American Literature Survey,0,,
AAAD,261,"Afro-Cuban Dance: History, Theory, and Practice",1,FC-AESTH or FC-CREATE,
AAAD,287,Health Equity in the African Diaspora,1,FC-POWER,
AAAD,312,Terrorism in Africa,0,,
AAAD,302,"West African History, Politics, and Culture",1,FC-GLOBAL or FC-PAST,
AAAD,329,Islamic Cultures and Literatures in Africa,1,FC-GLOBAL or FC-KNOWING,
AAAD,288,Global Black Popular Cultures,1,FC-GLOBAL or FC-POWER,
AAAD,303,Islamic Cultures of Contemporary Africa,1,FC-GLOBAL or FC-KNOWING,
AAAD,461,"Race, Gender, and Activism in Cuba",1,FC-POWER or FC-VALUES,
AAAD,53,First-Year Seminar: Experimentalism in Global Black Music and Performance Arts,1,FC-AESTH,
AAAD,388,Black Feminist Thought & the Speculative Imagination,1,FC-AESTH or FC-POWER,
AAAD,239,"Disaster, Recovery, Resistance in Southern Black History",1,FC-POWER,
AAAD,389,"The Caribbean Anticolonial: Caribbean Literature, Film, Aesthetics, and Politics",1,FC-AESTH or FC-POWER,
AAAD,410,"Gender, Sexuality, and Development in Contemporary Africa",1,FC-GLOBAL or FC-POWER,
AAAD,444,"Race, Ethnicity, and Blackness in Comparative Perspective",0,,
AAAD,344,African American Theatre: Exploring Legacy and Contemporary Voices,0,,
AAAD,282,Afropessimism in American and European Film,0,,
AAAD,492,Urbanism in the Global South,1,FC-GLOBAL,
AAAD,490,"Colloquium in African, African American, and Diaspora Studies",0,,
AAAD,391,Human Development and Sustainability in Africa and the African Diaspora,1,FC-GLOBAL,
AAAD,392,Struggles to Shape the City,1,FC-POWER,
AAAD,102,Introduction to Media in Africa,1,FC-GLOBAL or FC-VALUES,
AAAD,466,Race and Gender in the Atlantic World,1,FC-GLOBAL or FC-PAST,
AAAD,58,First-Year Seminar: Health Inequality in Africa and the African Diaspora,1,FC-POWER,
AAAD,55,"First-Year Seminar: Youth Activism, Citizenship, and Social Change in Africa",1,FC-GLOBAL,
AAAD,220,Media and Democracy in Africa,1,FC-GLOBAL or FC-VALUES,
AERO,101,Heritage and Values of the United States Air Force,0,,
AERO,102,Heritage and Values of the United States Air Force,0,,
AERO,201,Team and Air Force Leadership Fundamentals,0,,
AERO,202,Team and Air Force Leadership Fundamentals II,0,,
AERO,301,Leading People and Effective Communication I,0,,
AERO,302,Leading People and Effective Communication II,0,,
AERO,401,National Security Affairs and Preparation for Active Duty,0,,
AERO,402,National Security Affairs and Preparation for Active Duty,0,,
AERO,500,Leadership Laboratory,0,,
AERO,213,Air Power and Modern Warfare,0,,
AERO,196,Independent Study,0,,
AERO,190,Seminar,0,,
AERO,393,Air and Space Expeditionary Training,0,,
AMST,201,Literary Approaches to American Studies,1,FC-AESTH,
AMST,233,Native American History: The West,0,,
AMST,290,Topics in American Studies,0,,
AMST,390,Seminar in American Studies,0,,
AMST,396,Independent Study in American Studies,0,,
AMST,101,"This Place Called ""America""",1,FC-PAST or FC-POWER,
AMST,291,Ethics and American Studies,0,,
AMST,292,Historical Seminar in American Studies,0,,
AMST,294,American Studies Seminar on Aesthetic Perspective,0,,
AMST,352,The Asian American Experience,1,FC-PAST or FC-POWER,
AMST,231,Native American History: The East,1,FC-KNOWING or FC-PAST,
AMST,110,Introduction to the Cultures and Histories of Native North America,1,FC-PAST or FC-POWER,
AMST,493,Internship,0,,
AMST,498,Advanced Seminar in American Studies,0,,
AMST,248,"Intersectionality: Race, Gender, Sexuality, and Social Justice",1,FC-POWER,
AMST,256,Anti-'50s: Voices of a Counter Decade,1,FC-AESTH,
AMST,257,Melville: Culture and Criticism,1,FC-AESTH,
AMST,258,Captivity and American Cultural Definition,1,FC-PAST or FC-POWER,
AMST,259,Tobacco and America,1,FC-PAST or FC-VALUES,
AMST,268,American Cinema and American Culture,1,FC-AESTH or FC-POWER,
AMST,269,Mating and Marriage in America,1,FC-PAST or FC-VALUES,
AMST,336,Native Americans in Film,0,,
AMST,483,Seeing the USA: The Film Director as Public Intellectual,1,FC-AESTH,
AMST,102,Myth and History in American Memory,1,FC-KNOWING or FC-PAST,
AMST,398,Service Learning in America,0,,
AMST,235,Native America in the 20th Century,1,FC-PAST or FC-POWER,
AMST,277,America's Role in the Global Environment,1,FC-VALUES,
AMST,234,Native American Tribal Studies,1,FC-KNOWING or FC-PAST,
AMST,253,A Social History of Jewish Women in America,1,FC-PAST or FC-POWER,
AMST,486,"The Jewish South: Race, Region, and Religion",1,FC-PAST or FC-POWER,
AMST,375,Critical Food Studies: The South,1,FC-KNOWING or FC-POWER,
AMST,51,First-Year Seminar: Navigating America,0,,
AMST,53,First-Year Seminar: The Family and Social Change in America,0,,
AMST,54,First-Year Seminar: The Indians' New Worlds: Southeastern Histories from 1200 to 1800,0,,
AMST,55,First-Year Seminar: Birth and Death in the United States,1,FC-KNOWING or FC-VALUES,
AMST,55H,First-Year Seminar: Birth and Death in the United States,1,FC-KNOWING or FC-VALUES,
AMST,202,Historical Approaches to American Studies,1,FC-PAST or FC-POWER,
AMST,475,Documenting Communities,0,,
AMST,292H,Historical Seminar in American Studies,0,,
AMST,70,First-Year Seminar: Language in the U.S.A,0,,
AMST,246,"Indigenous Storytelling: Oral, Written, and Visual Literatures of Native America",0,,
AMST,255,Difference and Power in American Culture(s),1,FC-POWER,
AMST,203,Approaches to American Indian Studies,1,FC-KNOWING or FC-POWER,
AMST,338,American Indian Novel,1,FC-AESTH,
AMST,210,"This Place Called ""The South""",1,FC-PAST or FC-POWER,
AMST,211,Approaches to Southern Studies: The Literary and Cultural Worlds of the American South,1,FC-AESTH or FC-KNOWING,
AMST,475H,Documenting Communities,0,,
AMST,488,No Place like Home: Material Culture of the American South,0,,
AMST,59,First-Year Seminar: American Indian Art in the 20th Century,0,,
AMST,89,First Year Seminar:  Special Topics,0,,
AMST,283,American Home,0,,
AMST,440,American Indian Poetry,0,,
AMST,410,Senior Seminar in Southern Studies,0,,
AMST,60,"First-Year Seminar: American Indians in History, Law, and Literature",1,FC-AESTH or FC-PAST,
AMST,284,Visual Culture,1,FC-AESTH,
AMST,485,"Folk, Self-Taught, and Outsider Arts",1,FC-AESTH,
AMST,487,Early American Architecture and Material Life,0,,
AMST,489,Writing Material Culture,1,FC-AESTH or FC-KNOWING,
AMST,337,American Indian Activism since 1887: Beyond Red Power,1,FC-PAST or FC-POWER,
AMST,339,The Long 1960s in Native America,1,FC-PAST or FC-POWER,
AMST,365,Women and Detective Fiction: From Miss Violet Strange to Veronica Mars,1,FC-AESTH,
AMST,392,Radical Communities in Twentieth Century American Religious History,1,FC-KNOWING or FC-PAST,
AMST,340,American Indian Art and Material Culture through Interdisciplinary Perspectives,0,,
AMST,89H,First Year Seminar:  Special Topics,0,,
AMST,234H,Native American Tribal Studies,1,FC-KNOWING or FC-PAST,
AMST,371,LGTBQ Film and Fiction from 1950 to the Present,1,FC-AESTH or FC-POWER,
AMST,61,First-Year Seminar: Navigating the World through American Eyes,0,,
AMST,53H,First-Year Seminar: The Family and Social Change in America,0,,
AMST,325,Encountering Art in the Unexpected: Borderlands and Story in Contemporary American Visual Art,1,FC-CREATE or FC-GLOBAL,
AMST,220,On the Question of the Animal: Contemporary Animal Studies,1,FC-KNOWING or FC-VALUES,
AMST,317,Adoption in America,1,FC-POWER or FC-VALUES,
AMST,320,Critical Issues and Theories in American Studies,1,FC-KNOWING or FC-POWER,
AMST,175,Introduction to Food Studies: From Science to Society,1,FC-GLOBAL or FC-PAST,
AMST,225,Comedy and Ethics,1,FC-AESTH or FC-VALUES,
AMST,278,Crimes and Punishments,1,FC-PAST or FC-POWER,
AMST,287,Introduction to American Legal Education,1,FC-KNOWING or FC-VALUES,
AMST,276,Food and American Culture: What We Eat and Who We Are,0,,
AMST,374,America's Threatened Languages,1,FC-KNOWING or FC-POWER,
AMST,225L,The Practice of Stand Up Comedy,0,,
AMST,252,Muslim American Literatures and Cultures,1,FC-AESTH or FC-POWER,
AMST,341,Digital Native America,1,FC-KNOWING or FC-POWER,
AMST,439,Meaning and Makers: Indigenous Artists and the Marketplace,0,,
AMST,62,"First-Year Seminar: Mobility, Roads, NASCAR, and Southern Culture",0,,
AMST,351,"Global Waters, American Impacts, and Critical Connections",0,,
AMST,460,Rising Waters: Strategies for Resilience to the Challenges of Climate and the Built Environment,1,FC-CREATE or FC-GLOBAL,
AMST,345,Issues in the Indigenous World,0,,
AMST,330,del norte a norte: An American Songbook,0,,
AMST,460H,Rising Waters: Strategies for Resilience to the Challenges of Climate and the Built Environment,1,FC-CREATE or FC-GLOBAL,
AMST,225H,Comedy and Ethics,1,FC-AESTH or FC-VALUES,
AMST,265,The Black Interior,1,FC-AESTH or FC-POWER,
AMST,65,First-Year Seminar: North Carolina Black Feminisms,1,FC-CREATE or FC-POWER,
AMST,75,First-Year Seminar: Food and the Media,1,FC-CREATE or FC-POWER,
AMST,354,Asian American Graphic Form,1,FC-AESTH,
AMST,353,Southeast Asian North Carolina,1,FC-POWER,
AMST,275,Food and American Culture,1,FC-POWER or FC-VALUES,
ANTH,101,General Anthropology,1,FC-KNOWING,
ANTH,142,"Local Cultures, Global Forces",1,FC-GLOBAL,
ANTH,320,Anthropology of Development,0,,
ANTH,412,Paleoanthropology,0,,
ANTH,414,Laboratory Methods: Human Osteology,1,FC-NATSCI or FC-PAST,
ANTH,250,Archaeology of North America,1,FC-PAST,
ANTH,315,Human Genetics and Evolution,1,FC-KNOWING or FC-NATSCI,
ANTH,231,The Inca and Their Ancestors: The Archaeology of Andean South America,1,FC-GLOBAL or FC-PAST,
ANTH,355,"Life, Society and Work in the Globalized City",1,FC-GLOBAL or FC-KNOWING,
ANTH,470,Medicine and Anthropology,0,,
ANTH,222,Prehistoric Art,1,FC-PAST,
ANTH,484,Discourse and Dialogue in Ethnographic Research,0,,
ANTH,396,Independent Reading or Study in Anthropology,0,,
ANTH,145,Introduction to World Prehistory,1,FC-GLOBAL or FC-PAST,
ANTH,429,Culture and Power in Southeast Asia,1,FC-GLOBAL or FC-POWER,
ANTH,130,Anthropology of the Caribbean,0,,
ANTH,438,"Religion, Nature, and Environment",0,,
ANTH,416,Bioarchaeology,1,FC-PAST,
ANTH,226,The Peoples of Africa,0,,
ANTH,220,Principles of Archaeology,1,FC-KNOWING,
ANTH,190,Special Topics in Anthropology I,0,,
ANTH,421,Archaeological Geology,0,,
ANTH,342,African-American Religious Experience,0,,
ANTH,325,Emotions and Society,1,FC-GLOBAL or FC-KNOWING,
ANTH,447,The Anthropology of Work,0,,
ANTH,202,Everyday Cultures: Folklore in America,1,FC-AESTH or FC-KNOWING,
ANTH,428,Religion and Anthropology,0,,
ANTH,451,Field School in North American Archaeology,1,FC-PAST,
ANTH,393,Internship in Anthropology,0,,
ANTH,143,Human Evolution and Adaptation,0,,
ANTH,144,Archaeology and the Media,0,,
ANTH,280,Anthropology of War and Peace,1,FC-KNOWING or FC-VALUES,
ANTH,139,Ecological Anthropology,0,,
ANTH,333,Anthropology of Democracy,0,,
ANTH,334,"Art, Nature, and Religion: Cross-Cultural Perspectives",0,,
ANTH,101H,General Anthropology,1,FC-KNOWING,
ANTH,460,Historical Ecology,0,,
ANTH,277,Gender and Culture,0,,
ANTH,319,Global Health,1,FC-GLOBAL or FC-POWER,
ANTH,455,Ethnohistory,0,,
ANTH,468,State Formation,0,,
ANTH,291,Archaeological Theory and Practice,1,FC-KNOWING,
ANTH,294,Anthropological Perspectives on Society and Culture,1,FC-KNOWING,
ANTH,330,"Melancholy Japan: Myth, Memory, and Everyday Life",1,FC-GLOBAL or FC-KNOWING,
ANTH,210,Global Issues and Globalization,1,FC-GLOBAL or FC-POWER,
ANTH,297,Directions in Anthropology,0,,
ANTH,441,"The Anthropology of Gender, Health, and Illness",0,,
ANTH,120,Anthropology through Expressive Cultures,0,,
ANTH,473,Anthropology of the Body and the Subject,0,,
ANTH,447H,The Anthropology of Work,0,,
ANTH,248,Anthropology and Public Interest,0,,
ANTH,449,Anthropology and Marxism,1,FC-KNOWING,
ANTH,365,Chinese Diaspora in the Asia Pacific,0,,
ANTH,102,Introduction to Cultural Anthropology,1,FC-KNOWING,
ANTH,428H,Religion and Anthropology,0,,
ANTH,340,"Southern Styles, Southern Cultures",0,,
ANTH,377,European Societies,0,,
ANTH,195,Research in Anthropology I,0,,
ANTH,147,Comparative Healing Systems,1,FC-GLOBAL or FC-KNOWING,
ANTH,123,Habitat and Humanity,1,FC-GLOBAL or FC-PAST,
ANTH,148,Human Origins,1,FC-NATSCI,
ANTH,151,Anthropological Perspectives on Food and Culture,1,FC-GLOBAL or FC-PAST,
ANTH,252,Archaeology of Food,1,FC-GLOBAL or FC-PAST,
ANTH,380,Anthropological Perspectives on Cultural Diversity,0,,
ANTH,302,Language and Power,1,FC-POWER,
ANTH,395,Research in Anthropology,0,,
ANTH,469,History and Anthropology,0,,
ANTH,396H,Independent Reading or Study in Anthropology,0,,
ANTH,453,Field School in South American Archaeology,0,,
ANTH,303,Native Languages of the Americas,0,,
ANTH,452,The Past in the Present,0,,
ANTH,456,Archaeology and Ethnography of Small-Scale Societies,0,,
ANTH,458,Archaeology of Sex and Gender,1,FC-POWER,
ANTH,92,UNITAS,0,,
ANTH,93,UNITAS,0,,
ANTH,121,Ancient Cities of the Americas,1,FC-KNOWING or FC-PAST,
ANTH,142H,"Local Cultures, Global Forces",1,FC-GLOBAL,
ANTH,411,Laboratory Methods in Archaeology,1,FC-PAST,
ANTH,413,Laboratory Methods: Archaeobotany,1,FC-NATSCI or FC-PAST,
ANTH,415,Laboratory Methods: Zooarchaeology,1,FC-NATSCI or FC-PAST,
ANTH,278,Women in Science,1,FC-KNOWING or FC-VALUES,
ANTH,417,Laboratory Methods: Lithic Seminar,0,,
ANTH,234,Native American Tribal Studies,1,FC-KNOWING or FC-PAST,
ANTH,438H,"Religion, Nature, and Environment",0,,
ANTH,194,Anthropology and Community Development,1,FC-KNOWING or FC-VALUES,
ANTH,191,Peoples of Siberia,0,,
ANTH,350,"Anthropology of the State, Civil Society, and Politics",0,,
ANTH,54,First-Year Seminar: The Indians' New Worlds: Southeastern Histories from 1200 to 1800,0,,
ANTH,50,First-Year Seminar: Skeletons in the Closet,0,,
ANTH,51,First-Year Seminar: Environmentalism and American Society,0,,
ANTH,52,"First-Year Seminar: Asian Cultures, Asian Cities, Asian Modernities",0,,
ANTH,53,First-Year Seminar: Darwin's Dangerous Idea,1,FC-KNOWING,
ANTH,56,"First-Year Seminar: The Art of Healing, the Culture of Curing",0,,
ANTH,57,First-Year Seminar: Today in Africa,0,,
ANTH,196,Independent Reading or Study in Anthropology I,0,,
ANTH,198H,First Year Honors in Anthropology II,0,,
ANTH,290,Special Topic in Anthropology II,0,,
ANTH,295,Research in Anthropology II,0,,
ANTH,296,Independent Reading or Study in Anthropology II,0,,
ANTH,318,Human Growth and Development,1,FC-NATSCI,
ANTH,390,Special Topics in Medical Anthropology,0,,
ANTH,413L,Archaeobotany Lab,0,,
ANTH,414L,Human Osteology Lab,0,,
ANTH,415L,Zooarchaeology Lab,0,,
ANTH,417L,Lithic Analysis Lab,0,,
ANTH,418,Laboratory Methods: Ceramic Analysis,1,FC-PAST,
ANTH,437,Evolutionary Medicine,0,,
ANTH,439,Political Ecology,1,FC-POWER,
ANTH,335,"The Commons, Ecology, and Human Futures",0,,
ANTH,59,First-Year Seminar: The Right to Childhood: Global Efforts and Challenges,0,,
ANTH,259,Culture and Identity,0,,
ANTH,422,Anthropology and Human Rights,0,,
ANTH,459,Ecological Anthropology,0,,
ANTH,345,Alternatives to Capitalism,0,,
ANTH,203,Approaches to American Indian Studies,1,FC-KNOWING or FC-POWER,
ANTH,89,First-Year Seminar: Special Topics,0,,
ANTH,375,"Memory, Massacres, and Monuments in Southeast Asia",0,,
ANTH,442,Health and Gender after Socialism,0,,
ANTH,443,Cultures and Politics of Reproduction,1,FC-POWER,
ANTH,444,"Medicine, Politics, and Justice",0,,
ANTH,343,Africa and Masks,0,,
ANTH,60,First-Year Seminar: Crisis & Resilience: Past and Future of Human Societies,0,,
ANTH,60H,First-Year Seminar: Crisis & Resilience: Past and Future of Human Societies,0,,
ANTH,232,Ancestral Maya Civilizations,1,FC-GLOBAL or FC-PAST,
ANTH,312,From the Equator to the Poles: Case Studies in Global Environmental Change,0,,
ANTH,331,The Anthropology of Memory,1,FC-KNOWING,
ANTH,284,Culture and Consumption,1,FC-KNOWING or FC-POWER,
ANTH,360,Latin American Economy and Society,0,,
ANTH,467,"Culture, Wealth, and Poverty",0,,
ANTH,61,First-Year Seminar: Deep Economies,0,,
ANTH,62,First-Year Seminar: Indian Country Today,1,FC-KNOWING,
ANTH,477,Visual Anthropology,0,,
ANTH,77,First-Year Seminar: Windows of Mystery and Wonder: Exploring Self-Taught Art,0,,
ANTH,238,Human Ecology of Africa,1,FC-GLOBAL,
ANTH,125,Canine Cultures,0,,
ANTH,149,Great Discoveries in Archaeology,1,FC-GLOBAL or FC-PAST,
ANTH,233,Archaeology of Ancient Turkey,1,FC-GLOBAL or FC-PAST,
ANTH,240,Action Research,0,,
ANTH,454,The Archaeology of African Diasporas,0,,
ANTH,206,American Indian Societies,0,,
ANTH,406,Native Writers,1,FC-AESTH or FC-KNOWING,
ANTH,232H,Ancestral Maya Civilizations,1,FC-GLOBAL or FC-PAST,
ANTH,297H,Directions in Anthropology,0,,
ANTH,411H,Laboratory Methods in Archaeology,1,FC-PAST,
ANTH,453H,Field School in South American Archaeology,0,,
ANTH,290H,Special Topic in Anthropology II,0,,
ANTH,423,Written in Bone: CSI and the Science of Death Investigation from Skeletal Remains,0,,
ANTH,445,Migration and Health,1,FC-GLOBAL or FC-POWER,
ANTH,446,"Poverty, Inequality, and Health",0,,
ANTH,474,The Anthropology of Disability,0,,
ANTH,234H,Native American Tribal Studies,1,FC-KNOWING or FC-PAST,
ANTH,250H,Archaeology of North America,1,FC-PAST,
ANTH,395H,Research in Anthropology,0,,
ANTH,451H,Field School in North American Archaeology,1,FC-PAST,
ANTH,419,Anthropological Application of GIS,0,,
ANTH,490,Undergraduate Seminar in Anthropology,0,,
ANTH,298,Biological Anthropology Theory and Practice,1,FC-KNOWING or FC-NATSCI,
ANTH,53H,First-Year Seminar: Darwin's Dangerous Idea,1,FC-KNOWING,
ANTH,63,First-Year Seminar: The Lives of Others: Exploring Ethnography,0,,
ANTH,64,"First-Year Seminar: Public Archaeology in Bronzeville, Chicago's Black Metropolis",0,,
ANTH,461,Colonialism and Postcolonialism: History and Anthropology,0,,
ANTH,306,Water and Inequality: Anthropological Perspectives,0,,
ANTH,89H,First-Year Seminar: Special Topics,0,,
ANTH,65,First-Year Seminar: Humans and Animals: Anthropological Perspectives,0,,
ANTH,66H,First-Year Seminar: Saving the World? Humanitarianism in Action,0,,
ANTH,270,Living Medicine,1,FC-KNOWING,
ANTH,426,Making Magic,0,,
ANTH,361,Community in India and South Asia,0,,
ANTH,463,Settler Colonialism,0,,
ANTH,420,Public Archaeology,0,,
ANTH,356,"Artisans and Global Culture: Economic, Historical, Experiential, and Cross-Cultural Dimensions",1,FC-AESTH,
ANTH,356H,"Artisans and Global Culture: Economic, Historical, Experiential, and Cross-Cultural Dimensions",1,FC-AESTH,
ANTH,67,First-Year Seminar: Blackness and Racialization: A Multidimensional Approach,1,FC-KNOWING or FC-POWER,
ANTH,175,Introduction to Food Studies: From Science to Society,1,FC-GLOBAL or FC-PAST,
ANTH,217,Human Biology in Comparative Perspective,1,FC-GLOBAL or FC-NATSCI,
ANTH,326,Practicing Medical Anthropology,1,FC-KNOWING,
ANTH,471,Biocultural Perspectives on Maternal and Child Health,0,,
ANTH,424,"Ritual, Festival, and Public Culture",1,FC-KNOWING or FC-VALUES,
ANTH,237,"Food, Environment, and Sustainability",1,FC-KNOWING,
ANTH,410,The Identification and Analysis of Historical Artifacts,0,,
ANTH,425,Public Archaeology Practicum,0,,
ANTH,272,Healing in Ethnography and Literature,1,FC-AESTH,
ANTH,457,Perspectives in Historical Archaeology,0,,
ANTH,347,Anthropology of Travel and Tourism,1,FC-KNOWING,
ANTH,405,"Mental Health, Psychiatry, and Culture",1,FC-GLOBAL or FC-KNOWING,
ANTH,448,Health and Medicine in the American South,1,FC-POWER,
ANTH,138,Linguistic Anthropology,0,,
ANTH,370,Southern Legacies: The Descendants Project,1,FC-POWER,
ANTH,427,Race,1,FC-KNOWING or FC-POWER,
ANTH,235,Origins of Civilization: Archaeology of the British Museum,0,,
ANTH,300,Hip Hop Roots: The Politics and Passions of Black Oral Poetry,0,,
ANTH,300H,Hip Hop Roots: The Politics and Passions of Black Oral Poetry,0,,
ANTH,68,Forced Out and Fenced In: Ethnography of Latinx Immigration,0,,
ANTH,125H,Canine Cultures,0,,
ANTH,214,Medicine in the Arab World,1,FC-GLOBAL or FC-KNOWING,
ANTH,432,Science and Society in the Middle East,1,FC-GLOBAL or FC-KNOWING,
ANTH,70,By Persons Unknown: Race and Reckoning in North Carolina,0,,
ANTH,70H,By Persons Unknown: Race and Reckoning in North Carolina,0,,
ANTH,464,Life and Violence,0,,
ANTH,354,Everyday Lives in the Middle East: Anthropological Perspectives,1,FC-GLOBAL or FC-KNOWING,
ANTH,104,Introduction to Biocultural Medical Anthropology,1,FC-GLOBAL or FC-POWER,
ANTH,430,"War, Medicine, and the Military",1,FC-KNOWING,
ANTH,328,Anthropology of Care,1,FC-GLOBAL or FC-KNOWING,
ANTH,392,Professional Development and Career Exploration,0,,
ANTH,450,Ethnographic Research Methods,0,,
ANTH,349,Violent Pasts,1,FC-PAST or FC-POWER,
APPL,421,Synthesis of Polymers,0,,
APPL,423,Intermediate Polymer Chemistry,0,,
APPL,422,Physical Chemistry of Polymers,0,,
APPL,472,Chemistry and Physics of Electronic Materials Processing,0,,
APPL,420,Introduction to Polymers,0,,
APPL,470,Fundamentals of Materials Science,0,,
APPL,473,Chemistry and Physics of Surfaces,0,,
APPL,491L,Materials Laboratory I,0,,
APPL,492L,Materials Laboratory II,0,,
APPL,390,Special Topics in Applied Physical Sciences,0,,
APPL,110,Introduction to Design and Making: Developing Your Personal Design Potential,1,FC-CREATE,
APPL,490,Special Topics,0,,
APPL,412,Turning Your Entrepreneurial Ideas Into Reality,1,FC-CREATE,
APPL,112,Practical Electronics for Everyone,0,,
APPL,113,LabView for Data Acquisition,0,,
APPL,430,Optical Instrumentation for Scientists and Engineers,0,,
APPL,215,Design and Fabrication of Fluids Monitoring Devices,0,,
APPL,190,Special Topics in Applied Physical Sciences,0,,
APPL,290,Special Topics in Applied Physical Sciences,0,,
APPL,435,Nanophotonics,0,,
APPL,405,Convergent Engineering: Team-Science Approaches to Discovery and Innovation,0,,
APPL,465,Sponge Bob Square Pants and Other Soft Materials,0,,
APPL,493,Internship in Applied Physical Sciences,0,,
APPL,495,Mentored Research in Applied Physical Sciences,0,,
APPL,121,3D Printing Technology and Practice,0,,
